"","longitude_left","latitude_left","geometry","datetime_left","index_right","longitude_right","latitude_right","datetime_right"
"2100","76.8802032","8.5572378","POINT (76.8802032 8.557237799999999)","2020-03-05 05:53:23","496","76.8802032","8.5572378","2020-03-06 04:58:58"
"2118","76.88187529999999","8.556737","POINT (76.88187529999999 8.556737)","2020-03-05 06:00:43","297","76.8818737","8.5567292","2020-03-05 10:02:38"
"9336","76.8818703","8.5567329","POINT (76.8818703 8.5567329)","2020-03-10 05:37:17","297","76.8818737","8.5567292","2020-03-05 10:02:38"
"11883","76.88187049999999","8.556732","POINT (76.88187049999999 8.556732)","2020-03-11 08:20:58","297","76.8818737","8.5567292","2020-03-05 10:02:38"
"12035","76.8818728","8.556739","POINT (76.8818728 8.556739)","2020-03-11 11:54:00","297","76.8818737","8.5567292","2020-03-05 10:02:38"
"2118","76.88187529999999","8.556737","POINT (76.88187529999999 8.556737)","2020-03-05 06:00:43","498","76.88188079999999","8.556743899999999","2020-03-06 05:03:11"
"2420","76.88188319999999","8.556735399999999","POINT (76.88188319999999 8.556735399999999)","2020-03-05 07:48:59","498","76.88188079999999","8.556743899999999","2020-03-06 05:03:11"
"9423","76.8818853","8.5567475","POINT (76.88188529999999 8.5567475)","2020-03-10 06:07:28","498","76.88188079999999","8.556743899999999","2020-03-06 05:03:11"
"9742","76.88188509999999","8.556747399999999","POINT (76.88188509999999 8.556747399999999)","2020-03-10 07:57:33","498","76.88188079999999","8.556743899999999","2020-03-06 05:03:11"
"10596","76.8818879","8.5567504","POINT (76.8818879 8.5567504)","2020-03-10 12:20:26","498","76.88188079999999","8.556743899999999","2020-03-06 05:03:11"
"10600","76.8818739","8.5567478","POINT (76.8818739 8.5567478)","2020-03-10 12:21:57","498","76.88188079999999","8.556743899999999","2020-03-06 05:03:11"
"11773","76.8818709","8.5567431","POINT (76.8818709 8.5567431)","2020-03-11 05:33:13","498","76.88188079999999","8.556743899999999","2020-03-06 05:03:11"
"11793","76.8818746","8.5567408","POINT (76.8818746 8.5567408)","2020-03-11 06:14:03","498","76.88188079999999","8.556743899999999","2020-03-06 05:03:11"
"11853","76.8818786","8.5567453","POINT (76.88187859999999 8.556745299999999)","2020-03-11 07:19:46","498","76.88188079999999","8.556743899999999","2020-03-06 05:03:11"
"11854","76.8818786","8.5567453","POINT (76.88187859999999 8.556745299999999)","2020-03-11 07:26:02","498","76.88188079999999","8.556743899999999","2020-03-06 05:03:11"
"12035","76.8818728","8.556739","POINT (76.8818728 8.556739)","2020-03-11 11:54:00","498","76.88188079999999","8.556743899999999","2020-03-06 05:03:11"
"12123","76.8818797","8.5567394","POINT (76.8818797 8.5567394)","2020-03-11 12:28:19","498","76.88188079999999","8.556743899999999","2020-03-06 05:03:11"
"13866","76.88187239999999","8.5567481","POINT (76.88187239999999 8.5567481)","2020-03-13 11:50:12","498","76.88188079999999","8.556743899999999","2020-03-06 05:03:11"
"2118","76.88187529999999","8.556737","POINT (76.88187529999999 8.556737)","2020-03-05 06:00:43","3581","76.88187909999999","8.556737","2020-03-11 05:29:24"
"2420","76.88188319999999","8.556735399999999","POINT (76.88188319999999 8.556735399999999)","2020-03-05 07:48:59","3581","76.88187909999999","8.556737","2020-03-11 05:29:24"
"9336","76.8818703","8.5567329","POINT (76.8818703 8.5567329)","2020-03-10 05:37:17","3581","76.88187909999999","8.556737","2020-03-11 05:29:24"
"11793","76.8818746","8.5567408","POINT (76.8818746 8.5567408)","2020-03-11 06:14:03","3581","76.88187909999999","8.556737","2020-03-11 05:29:24"
"11853","76.8818786","8.5567453","POINT (76.88187859999999 8.556745299999999)","2020-03-11 07:19:46","3581","76.88187909999999","8.556737","2020-03-11 05:29:24"
